ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado
8716,32,01/11/2024,20:59,Fluminense,Gremio,4-2-3-1,4-2-3-1,L. Venker de Menezes,Renato Gaúcho,-, Maracanã,2,2,RJ,RS
8717,32,02/11/2024,16:00,Bragantino,Cuiaba,4-2-3-1,4-1-4-1,F. Seabra,B. Franco,-,Nabizão,0,0,SP,MT
8719,32,02/11/2024,18:29,Athletico-PR,Vitoria,3-4-2-1,5-4-1,L. González,T. Carpini Barbosa,Vitoria,Ligga Arena,1,2,PR,BA
8718,32,02/11/2024,18:30,Juventude,Fortaleza,4-2-3-1,3-1-4-2,F. Matias,J. Vojvoda,Fortaleza, Alfredo Jaconi,0,3,RS,CE
8720,32,04/11/2024,20:03,Corinthians,Palmeiras,3-4-1-2,4-2-3-1,R. Díaz,A. Moreira Ferreira,Corinthians,Neo Química Arena,2,0,SP,SP
8723,32,05/11/2024,21:30,Botafogo-RJ,Vasco,4-2-3-1,4-2-3-1,A. Torres Gomes Araújo Amorim,C. de Paiva,Botafogo-RJ,Estádio Nilton Santos,3,0,RJ,RJ
8722,32,05/11/2024,21:31,Internacional,Criciuma,4-2-3-1,4-4-2,R. Machado Marques,C. Tencati,Internacional,Estádio Beira-Rio,2,0,RS,SC
8721,32,05/11/2024,21:32,Bahia,Sao Paulo,4-2-3-1,4-2-3-1,R. Ceni,L. Zubeldía,Sao Paulo,Arena Fonte Nova,0,3,BA,SP
8725,32,06/11/2024,21:00,Atletico-GO,Atletico-MG,4-2-3-1,3-4-2-1,A. Gomes,G. Milito,Atletico-GO,Estádio Antônio Accioly - Atlético Goianiense,1,0,GO,MG
8724,32,06/11/2024,21:01,Cruzeiro,Flamengo,4-2-3-1,4-2-3-1,F. Diniz Silva,F. Luís,Flamengo,Estádio Independência,0,1,MG,RJ
8726,33,08/11/2024,18:59,Internacional,Fluminense,4-2-3-1,4-2-3-1,R. Machado Marques,L. Venker de Menezes,Internacional,Estádio Beira-Rio,2,0,RS,RJ
8727,33,08/11/2024,21:30,Palmeiras,Gremio,4-2-3-1,4-2-3-1,A. Moreira Ferreira,Renato Gaúcho,Palmeiras,Allianz Parque,1,0,SP,RS
8729,33,09/11/2024,16:31,Botafogo-RJ,Cuiaba,4-2-3-1,4-1-4-1,A. Torres Gomes Araújo Amorim,B. Franco,-,Estádio Nilton Santos,0,0,RJ,MT
8728,33,09/11/2024,16:32,Vitoria,Corinthians,4-2-3-1,4-3-1-2,T. Carpini Barbosa,R. Díaz,Corinthians, Barradão,1,2,BA,SP
8731,33,09/11/2024,18:59,Juventude,Bahia,4-2-3-1,4-3-3,F. Matias,R. Ceni,Juventude, Alfredo Jaconi,2,1,RS,BA
8733,33,09/11/2024,18:59,Atletico-GO,Bragantino,4-2-3-1,4-2-3-1,A. Gomes,F. Seabra,-,Estádio Antônio Accioly - Atlético Goianiense,0,0,GO,SP
8732,33,09/11/2024,19:00,Fortaleza,Vasco,4-2-2-2,4-3-3,J. Vojvoda,C. de Paiva,Fortaleza,Arena Castelão,3,0,CE,RJ
8730,33,09/11/2024,19:01,Cruzeiro,Criciuma,4-2-3-1,4-2-3-1,F. Diniz Silva,C. Tencati,Cruzeiro, Mineirão,2,1,MG,SC
